Datum Zeit,Goerlitz PM10
,µg/m³
31-05-03,30
30-05-03,29
29-05-03,20
28-05-03,15
27-05-03,11
26-05-03,21
25-05-03,25
24-05-03,23
23-05-03,24
22-05-03,19
21-05-03,19
20-05-03,15
19-05-03,14
18-05-03,16
17-05-03,21
16-05-03,19
15-05-03,20
14-05-03,24
13-05-03,25
12-05-03,27
11-05-03,20
10-05-03,25
09-05-03,34
08-05-03,37
07-05-03,15
06-05-03,48
05-05-03,34
04-05-03,20
03-05-03,23
02-05-03,27
01-05-03,20

