Datum Zeit,Goerlitz PM10
,µg/m³
30-04-01,41
29-04-01,21
28-04-01,22
27-04-01,22
26-04-01,18
25-04-01,38
24-04-01,42
23-04-01,27
22-04-01,16
21-04-01,26
20-04-01,30
19-04-01,23
18-04-01,25
17-04-01,26
16-04-01,16
15-04-01,20
14-04-01,14
13-04-01,11
12-04-01,23
11-04-01,52
10-04-01,39
09-04-01,25
08-04-01,14
07-04-01,22
06-04-01,28
05-04-01,27
04-04-01,40
03-04-01,49
02-04-01,59
01-04-01,42

