Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-06-16,6.14
29-06-16,5.59
28-06-16,6.96
27-06-16,5.09
26-06-16,6.39
25-06-16,14.10
24-06-16,13.64
23-06-16,9.42
22-06-16,7.11
21-06-16,5.78
20-06-16,6.77
19-06-16,6.68
18-06-16,4.27
17-06-16,4.17
16-06-16,5.57
15-06-16,4.12
14-06-16,4.67
13-06-16,6.56
12-06-16,8.65
11-06-16,10.20
10-06-16,8.53
09-06-16,8.34
08-06-16,10.21
07-06-16,8.72
06-06-16,7.50
05-06-16,13.23
04-06-16,12.76
03-06-16,9.47
02-06-16,6.29
01-06-16,8.28

