Datum Zeit,Leipzig-West PM10
,µg/m³
30-06-16,12
29-06-16,10
28-06-16,10
27-06-16,10
26-06-16,9
25-06-16,16
24-06-16,20
23-06-16,15
22-06-16,10
21-06-16,8
20-06-16,11
19-06-16,10
18-06-16,8
17-06-16,8
16-06-16,8
15-06-16,8
14-06-16,11
13-06-16,15
12-06-16,15
11-06-16,17
10-06-16,14
09-06-16,17
08-06-16,21
07-06-16,15
06-06-16,19
05-06-16,22
04-06-16,21
03-06-16,33
02-06-16,11
01-06-16,15

