Datum Zeit,Dresden-Nord PM10
,µg/m³
30-06-16,14
29-06-16,12
28-06-16,12
27-06-16,12
26-06-16,12
25-06-16,29
24-06-16,24
23-06-16,17
22-06-16,14
21-06-16,14
20-06-16,14
19-06-16,12
18-06-16,10
17-06-16,10
16-06-16,12
15-06-16,10
14-06-16,11
13-06-16,15
12-06-16,16
11-06-16,22
10-06-16,21
09-06-16,22
08-06-16,22
07-06-16,18
06-06-16,16
05-06-16,21
04-06-16,19
03-06-16,14
02-06-16,12
01-06-16,17

