Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-06-16,6.94
29-06-16,6.09
28-06-16,7.76
27-06-16,6.15
26-06-16,7.04
25-06-16,16.49
24-06-16,15.43
23-06-16,9.78
22-06-16,8.64
21-06-16,7.20
20-06-16,7.37
19-06-16,7.42
18-06-16,5.24
17-06-16,6.00
16-06-16,6.24
15-06-16,5.57
14-06-16,5.59
13-06-16,8.71
12-06-16,10.08
11-06-16,11.95
10-06-16,9.58
09-06-16,10.46
08-06-16,11.49
07-06-16,10.62
06-06-16,9.24
05-06-16,14.36
04-06-16,13.00
03-06-16,8.70
02-06-16,6.79
01-06-16,9.19

