Datum Zeit,Klingenthal PM10
,µg/m³
30-06-16,6
29-06-16,7
28-06-16,7
27-06-16,7
26-06-16,6
25-06-16,17
24-06-16,14
23-06-16,10
22-06-16,7
21-06-16,5
20-06-16,7
19-06-16,5
18-06-16,4
17-06-16,4
16-06-16,7
15-06-16,5
14-06-16,6
13-06-16,6
12-06-16,7
11-06-16,8
10-06-16,10
09-06-16,16
08-06-16,11
07-06-16,11
06-06-16,13
05-06-16,14
04-06-16,11
03-06-16,8
02-06-16,9
01-06-16,9

