Datum Zeit,Goerlitz PM10
,µg/m³
30-06-01,32
29-06-01,35
28-06-01,32
27-06-01,29
26-06-01,23
25-06-01,22
24-06-01,15
23-06-01,14
22-06-01,19
21-06-01,28
20-06-01,23
19-06-01,22
18-06-01,21
17-06-01,17
16-06-01,24
15-06-01,40
14-06-01,48
13-06-01,33
12-06-01,
11-06-01,31
10-06-01,23
09-06-01,21
08-06-01,21
07-06-01,27
06-06-01,35
05-06-01,25
04-06-01,9
03-06-01,11
02-06-01,16
01-06-01,16

