Datum Zeit,Radebeul-Wahnsdorf CO
,mg/m3
01-07-01 00:00,0.1
30-06-01 23:00,0.1
30-06-01 22:00,0.1
30-06-01 21:00,0.1
30-06-01 20:00,0.1
30-06-01 19:00,0.1
30-06-01 18:00,0.1
30-06-01 17:00,0.1
30-06-01 16:00,0.1
30-06-01 15:00,0.1
30-06-01 14:00,0.1
30-06-01 13:00,0.1
30-06-01 12:00,0.1
30-06-01 11:00,0.1
30-06-01 10:00,0.1
30-06-01 09:00,0.1
30-06-01 08:00,0.1
30-06-01 07:00,0.1
30-06-01 06:00,0.1
30-06-01 05:00,0.1
30-06-01 04:00,0.1
30-06-01 03:00,0.1
30-06-01 02:00,0.1
30-06-01 01:00,0.1
30-06-01 00:00,0.1
29-06-01 23:00,0.1
29-06-01 22:00,0.1
29-06-01 21:00,0.1
29-06-01 20:00,0.1
29-06-01 19:00,0.1
29-06-01 18:00,0.1
29-06-01 17:00,0.1
29-06-01 16:00,0.1
29-06-01 15:00,0.1
29-06-01 14:00,0.1
29-06-01 13:00,0.1
29-06-01 12:00,0.1
29-06-01 11:00,
29-06-01 10:00,0.1
29-06-01 09:00,0.1
29-06-01 08:00,0.1
29-06-01 07:00,0.1
29-06-01 06:00,0.1
29-06-01 05:00,0.1
29-06-01 04:00,0.1
29-06-01 03:00,0.1
29-06-01 02:00,0.1
29-06-01 01:00,0.1
29-06-01 00:00,0.1
28-06-01 23:00,0.1
28-06-01 22:00,0.1
28-06-01 21:00,0.1
28-06-01 20:00,0.1
28-06-01 19:00,0.1
28-06-01 18:00,0.1
28-06-01 17:00,0.1
28-06-01 16:00,0.1
28-06-01 15:00,0.1
28-06-01 14:00,0.1
28-06-01 13:00,0.1
28-06-01 12:00,0.1
28-06-01 11:00,0.1
28-06-01 10:00,0.1
28-06-01 09:00,0.1
28-06-01 08:00,0.1
28-06-01 07:00,0.1
28-06-01 06:00,0.1
28-06-01 05:00,0.1
28-06-01 04:00,0.1
28-06-01 03:00,0.1
28-06-01 02:00,0.1
28-06-01 01:00,0.1
28-06-01 00:00,0.1
27-06-01 23:00,0.1
27-06-01 22:00,0.1
27-06-01 21:00,0.1
27-06-01 20:00,0.1
27-06-01 19:00,0.1
27-06-01 18:00,0.1
27-06-01 17:00,0.1
27-06-01 16:00,0.1
27-06-01 15:00,0.1
27-06-01 14:00,0.1
27-06-01 13:00,0.1
27-06-01 12:00,
27-06-01 11:00,0.1
27-06-01 10:00,0.1
27-06-01 09:00,0.1
27-06-01 08:00,0.1
27-06-01 07:00,0.1
27-06-01 06:00,0.1
27-06-01 05:00,0.1
27-06-01 04:00,0.1
27-06-01 03:00,0.1
27-06-01 02:00,0.1
27-06-01 01:00,0.1
27-06-01 00:00,0.2
26-06-01 23:00,0.1
26-06-01 22:00,0.1
26-06-01 21:00,0.1
26-06-01 20:00,0.1
26-06-01 19:00,0.1
26-06-01 18:00,0.1
26-06-01 17:00,0.1
26-06-01 16:00,0.1
26-06-01 15:00,0.1
26-06-01 14:00,0.1
26-06-01 13:00,0.1
26-06-01 12:00,0.1
26-06-01 11:00,0.1
26-06-01 10:00,0.1
26-06-01 09:00,0.1
26-06-01 08:00,0.1
26-06-01 07:00,0.1
26-06-01 06:00,0.1
26-06-01 05:00,0.1
26-06-01 04:00,0.1
26-06-01 03:00,0.1
26-06-01 02:00,0.1
26-06-01 01:00,0.1
26-06-01 00:00,0.1
25-06-01 23:00,0.1
25-06-01 22:00,0.1
25-06-01 21:00,0.1
25-06-01 20:00,0.1
25-06-01 19:00,0.1
25-06-01 18:00,0.1
25-06-01 17:00,0.1
25-06-01 16:00,0.1
25-06-01 15:00,0.1
25-06-01 14:00,0.1
25-06-01 13:00,0.1
25-06-01 12:00,
25-06-01 11:00,0.1
25-06-01 10:00,
25-06-01 09:00,0.1
25-06-01 08:00,0.1
25-06-01 07:00,0.1
25-06-01 06:00,0.1
25-06-01 05:00,0.1
25-06-01 04:00,0.1
25-06-01 03:00,0.1
25-06-01 02:00,0.1
25-06-01 01:00,0.1
25-06-01 00:00,0.1
24-06-01 23:00,0.1
24-06-01 22:00,0.1
24-06-01 21:00,0.1
24-06-01 20:00,0.1
24-06-01 19:00,0.1
24-06-01 18:00,0.1
24-06-01 17:00,0.1
24-06-01 16:00,0.1
24-06-01 15:00,0.1
24-06-01 14:00,0.1
24-06-01 13:00,0.1
24-06-01 12:00,0.1
24-06-01 11:00,0.1
24-06-01 10:00,0.1
24-06-01 09:00,0.1
24-06-01 08:00,0.1
24-06-01 07:00,0.1
24-06-01 06:00,0.1
24-06-01 05:00,0.1
24-06-01 04:00,0.1
24-06-01 03:00,0.1
24-06-01 02:00,0.1
24-06-01 01:00,0.1
24-06-01 00:00,0.1
23-06-01 23:00,0.1
23-06-01 22:00,0.1
23-06-01 21:00,0.1
23-06-01 20:00,0.1
23-06-01 19:00,0.1
23-06-01 18:00,0.1
23-06-01 17:00,0.1
23-06-01 16:00,0.1
23-06-01 15:00,0.1
23-06-01 14:00,0.1
23-06-01 13:00,0.1
23-06-01 12:00,0.1
23-06-01 11:00,0.1
23-06-01 10:00,
23-06-01 09:00,0.1
23-06-01 08:00,0.1
23-06-01 07:00,0.1
23-06-01 06:00,0.1
23-06-01 05:00,0.1
23-06-01 04:00,0.1
23-06-01 03:00,0.1
23-06-01 02:00,0.1
23-06-01 01:00,0.1
23-06-01 00:00,0.1
22-06-01 23:00,0.1
22-06-01 22:00,0.1
22-06-01 21:00,0.1
22-06-01 20:00,0.1
22-06-01 19:00,0.1
22-06-01 18:00,0.1
22-06-01 17:00,0.1
22-06-01 16:00,0.1
22-06-01 15:00,0.1
22-06-01 14:00,0.1
22-06-01 13:00,0.1
22-06-01 12:00,0.1
22-06-01 11:00,0.1
22-06-01 10:00,0.1
22-06-01 09:00,0.1
22-06-01 08:00,0.1
22-06-01 07:00,0.1
22-06-01 06:00,0.1
22-06-01 05:00,0.1
22-06-01 04:00,0.1
22-06-01 03:00,0.1
22-06-01 02:00,0.1
22-06-01 01:00,0.1
