Datum Zeit,Carlsfeld PM10
,µg/m³
30-09-12,11
29-09-12,10
28-09-12,7
27-09-12,6
26-09-12,9
25-09-12,8
24-09-12,10
23-09-12,8
22-09-12,10
21-09-12,12
20-09-12,10
19-09-12,7
18-09-12,14
17-09-12,9
16-09-12,8
15-09-12,9
14-09-12,10
13-09-12,11
12-09-12,5
11-09-12,14
10-09-12,12
09-09-12,9
08-09-12,15
07-09-12,10
06-09-12,11
05-09-12,20
04-09-12,17
03-09-12,13
02-09-12,10
01-09-12,9

