Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-09-12,10.74
29-09-12,12.06
28-09-12,11.08
27-09-12,6.55
26-09-12,17.67
25-09-12,11.16
24-09-12,13.05
23-09-12,6.26
22-09-12,9.76
21-09-12,15.08
20-09-12,9.65
19-09-12,7.43
18-09-12,14.78
17-09-12,15.99
16-09-12,8.50
15-09-12,7.48
14-09-12,11.42
13-09-12,15.69
12-09-12,8.59
11-09-12,18.74
10-09-12,15.93
09-09-12,13.35
08-09-12,12.99
07-09-12,11.29
06-09-12,9.74
05-09-12,22.32
04-09-12,19.81
03-09-12,14.59
02-09-12,11.18
01-09-12,10.06

