Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-09-12,8.79
29-09-12,10.18
28-09-12,9.28
27-09-12,6.26
26-09-12,12.29
25-09-12,7.25
24-09-12,9.41
23-09-12,7.11
22-09-12,9.09
21-09-12,9.48
20-09-12,9.03
19-09-12,7.37
18-09-12,13.27
17-09-12,13.48
16-09-12,8.47
15-09-12,7.40
14-09-12,9.04
13-09-12,11.93
12-09-12,7.61
11-09-12,15.87
10-09-12,13.93
09-09-12,11.64
08-09-12,13.17
07-09-12,10.57
06-09-12,8.46
05-09-12,17.93
04-09-12,17.90
03-09-12,14.12
02-09-12,14.35
01-09-12,13.08

