Datum Zeit,Brockau PM10
,µg/m³
30-09-12,12
29-09-12,9
28-09-12,8
27-09-12,4
26-09-12,9
25-09-12,7
24-09-12,10
23-09-12,8
22-09-12,8
21-09-12,10
20-09-12,9
19-09-12,6
18-09-12,13
17-09-12,11
16-09-12,9
15-09-12,8
14-09-12,10
13-09-12,12
12-09-12,6
11-09-12,18
10-09-12,16
09-09-12,11
08-09-12,13
07-09-12,12
06-09-12,12
05-09-12,28
04-09-12,24
03-09-12,15
02-09-12,14
01-09-12,17

