Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-09-12,9.11
29-09-12,9.55
28-09-12,5.54
27-09-12,4.40
26-09-12,11.49
25-09-12,5.55
24-09-12,9.50
23-09-12,5.29
22-09-12,7.80
21-09-12,9.46
20-09-12,6.73
19-09-12,5.35
18-09-12,10.89
17-09-12,10.46
16-09-12,7.85
15-09-12,5.56
14-09-12,8.84
13-09-12,13.24
12-09-12,6.17
11-09-12,11.78
10-09-12,11.13
09-09-12,9.48
08-09-12,12.86
07-09-12,8.07
06-09-12,7.11
05-09-12,16.74
04-09-12,15.23
03-09-12,11.82
02-09-12,8.71
01-09-12,9.55

