Datum Zeit,Borna PM10
,µg/m³
30-09-07,19
29-09-07,9
28-09-07,25
27-09-07,34
26-09-07,22
25-09-07,20
24-09-07,32
23-09-07,24
22-09-07,21
21-09-07,26
20-09-07,20
19-09-07,21
18-09-07,18
17-09-07,28
16-09-07,18
15-09-07,21
14-09-07,28
13-09-07,24
12-09-07,23
11-09-07,12
10-09-07,15
09-09-07,10
08-09-07,9
07-09-07,16
06-09-07,23
05-09-07,8
04-09-07,14
03-09-07,15
02-09-07,16
01-09-07,13

