Datum Zeit,Leipzig-Mitte PM10
,µg/m³
30-09-07,24
29-09-07,14
28-09-07,39
27-09-07,45
26-09-07,32
25-09-07,25
24-09-07,47
23-09-07,33
22-09-07,37
21-09-07,33
20-09-07,20
19-09-07,24
18-09-07,22
17-09-07,30
16-09-07,22
15-09-07,29
14-09-07,36
13-09-07,37
12-09-07,33
11-09-07,19
10-09-07,15
09-09-07,15
08-09-07,13
07-09-07,26
06-09-07,32
05-09-07,15
04-09-07,16
03-09-07,19
02-09-07,19
01-09-07,15

