Datum Zeit,Chemnitz-Leipziger Str. NO2
,µg/m³
01-07-05 00:00,54
30-06-05 23:00,59
30-06-05 22:00,70
30-06-05 21:00,69
30-06-05 20:00,85
30-06-05 19:00,94
30-06-05 18:00,107
30-06-05 17:00,116
30-06-05 16:00,111
30-06-05 15:00,117
30-06-05 14:00,117
30-06-05 13:00,
30-06-05 12:00,
30-06-05 11:00,
30-06-05 10:00,
30-06-05 09:00,
30-06-05 08:00,
30-06-05 07:00,
30-06-05 06:00,
30-06-05 05:00,
30-06-05 04:00,
30-06-05 03:00,
30-06-05 02:00,
30-06-05 01:00,
30-06-05 00:00,
29-06-05 23:00,
29-06-05 22:00,
29-06-05 21:00,
29-06-05 20:00,
29-06-05 19:00,
29-06-05 18:00,
29-06-05 17:00,
29-06-05 16:00,
29-06-05 15:00,
29-06-05 14:00,
29-06-05 13:00,
29-06-05 12:00,
29-06-05 11:00,
29-06-05 10:00,
29-06-05 09:00,
29-06-05 08:00,
29-06-05 07:00,
29-06-05 06:00,
29-06-05 05:00,
29-06-05 04:00,
29-06-05 03:00,
29-06-05 02:00,
29-06-05 01:00,49
29-06-05 00:00,53
28-06-05 23:00,63
28-06-05 22:00,70
28-06-05 21:00,50
28-06-05 20:00,50
28-06-05 19:00,54
28-06-05 18:00,95
28-06-05 17:00,101
28-06-05 16:00,89
28-06-05 15:00,89
28-06-05 14:00,103
28-06-05 13:00,107
28-06-05 12:00,94
28-06-05 11:00,98
28-06-05 10:00,74
28-06-05 09:00,78
28-06-05 08:00,79
28-06-05 07:00,105
28-06-05 06:00,79
28-06-05 05:00,58
28-06-05 04:00,48
28-06-05 03:00,46
28-06-05 02:00,43
28-06-05 01:00,40
28-06-05 00:00,54
27-06-05 23:00,58
27-06-05 22:00,89
27-06-05 21:00,76
27-06-05 20:00,79
27-06-05 19:00,80
27-06-05 18:00,90
27-06-05 17:00,85
27-06-05 16:00,99
27-06-05 15:00,94
27-06-05 14:00,98
27-06-05 13:00,91
27-06-05 12:00,85
27-06-05 11:00,94
27-06-05 10:00,91
27-06-05 09:00,97
27-06-05 08:00,109
27-06-05 07:00,110
27-06-05 06:00,76
27-06-05 05:00,59
27-06-05 04:00,47
27-06-05 03:00,39
27-06-05 02:00,33
27-06-05 01:00,42
27-06-05 00:00,51
26-06-05 23:00,75
26-06-05 22:00,85
26-06-05 21:00,83
26-06-05 20:00,77
26-06-05 19:00,67
26-06-05 18:00,68
26-06-05 17:00,75
26-06-05 16:00,60
26-06-05 15:00,53
26-06-05 14:00,44
26-06-05 13:00,40
26-06-05 12:00,50
26-06-05 11:00,46
26-06-05 10:00,29
26-06-05 09:00,21
26-06-05 08:00,18
26-06-05 07:00,12
26-06-05 06:00,9
26-06-05 05:00,8
26-06-05 04:00,8
26-06-05 03:00,9
26-06-05 02:00,18
26-06-05 01:00,26
26-06-05 00:00,26
25-06-05 23:00,53
25-06-05 22:00,52
25-06-05 21:00,60
25-06-05 20:00,81
25-06-05 19:00,76
25-06-05 18:00,53
25-06-05 17:00,74
25-06-05 16:00,92
25-06-05 15:00,98
25-06-05 14:00,92
25-06-05 13:00,100
25-06-05 12:00,75
25-06-05 11:00,75
25-06-05 10:00,90
25-06-05 09:00,77
25-06-05 08:00,76
25-06-05 07:00,80
25-06-05 06:00,66
25-06-05 05:00,56
25-06-05 04:00,44
25-06-05 03:00,44
25-06-05 02:00,50
25-06-05 01:00,57
25-06-05 00:00,48
24-06-05 23:00,72
24-06-05 22:00,64
24-06-05 21:00,90
24-06-05 20:00,97
24-06-05 19:00,100
24-06-05 18:00,106
24-06-05 17:00,119
24-06-05 16:00,98
24-06-05 15:00,116
24-06-05 14:00,118
24-06-05 13:00,115
24-06-05 12:00,125
24-06-05 11:00,127
24-06-05 10:00,119
24-06-05 09:00,131
24-06-05 08:00,128
24-06-05 07:00,129
24-06-05 06:00,126
24-06-05 05:00,106
24-06-05 04:00,76
24-06-05 03:00,55
24-06-05 02:00,36
