Datum Zeit,Collmberg PM10
,µg/m³
30-06-05,20
29-06-05,15
28-06-05,11
27-06-05,14
26-06-05,9
25-06-05,17
24-06-05,52
23-06-05,18
22-06-05,13
21-06-05,23
20-06-05,34
19-06-05,7
18-06-05,8
17-06-05,15
16-06-05,20
15-06-05,18
14-06-05,13
13-06-05,14
12-06-05,10
11-06-05,9
10-06-05,16
09-06-05,10
08-06-05,6
07-06-05,8
06-06-05,9
05-06-05,7
04-06-05,11
03-06-05,15
02-06-05,15
01-06-05,9

