Datum Zeit,Chemnitz-Mitte PM10
,µg/m³
31-01-07,20
30-01-07,12
29-01-07,8
28-01-07,9
27-01-07,12
26-01-07,19
25-01-07,9
24-01-07,22
23-01-07,10
22-01-07,11
21-01-07,5
20-01-07,6
19-01-07,9
18-01-07,6
17-01-07,19
16-01-07,17
15-01-07,20
14-01-07,6
13-01-07,7
12-01-07,17
11-01-07,6
10-01-07,8
09-01-07,4
08-01-07,6
07-01-07,4
06-01-07,4
05-01-07,8
04-01-07,7
03-01-07,11
02-01-07,9
01-01-07,10

