Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-08-15,19.24
30-08-15,14.92
29-08-15,8.72
28-08-15,8.04
27-08-15,9.97
26-08-15,8.28
25-08-15,6.12
24-08-15,17.65
23-08-15,16.23
22-08-15,18.71
21-08-15,17.16
20-08-15,12.42
19-08-15,12.66
18-08-15,7.17
17-08-15,6.77
16-08-15,17.56
15-08-15,10.42
14-08-15,21.61
13-08-15,16.40
12-08-15,12.84
11-08-15,20.96
10-08-15,18.13
09-08-15,10.48
08-08-15,18.31
07-08-15,15.36
06-08-15,12.48
05-08-15,8.68
04-08-15,16.61
03-08-15,18.07
02-08-15,16.69
01-08-15,11.09

