Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-08-15,13.87
30-08-15,13.24
29-08-15,8.52
28-08-15,4.74
27-08-15,6.24
26-08-15,4.99
25-08-15,3.91
24-08-15,8.62
23-08-15,17.01
22-08-15,22.64
21-08-15,13.75
20-08-15,12.47
19-08-15,13.17
18-08-15,4.06
17-08-15,5.60
16-08-15,18.33
15-08-15,9.67
14-08-15,16.14
13-08-15,14.40
12-08-15,9.29
11-08-15,12.22
10-08-15,15.21
09-08-15,8.21
08-08-15,12.91
07-08-15,16.10
06-08-15,10.61
05-08-15,7.99
04-08-15,12.57
03-08-15,14.19
02-08-15,13.58
01-08-15,9.37

