Datum Zeit,Collmberg PM2.5
,µg/m³
31-08-15,14.85
30-08-15,12.70
29-08-15,6.54
28-08-15,4.34
27-08-15,6.52
26-08-15,3.98
25-08-15,2.55
24-08-15,11.85
23-08-15,17.01
22-08-15,19.16
21-08-15,12.67
20-08-15,10.56
19-08-15,2.91
18-08-15,1.38
17-08-15,6.01
16-08-15,21.18
15-08-15,10.58
14-08-15,16.70
13-08-15,14.43
12-08-15,10.42
11-08-15,16.91
10-08-15,16.66
09-08-15,9.08
08-08-15,15.89
07-08-15,12.27
06-08-15,10.34
05-08-15,6.31
04-08-15,15.07
03-08-15,12.56
02-08-15,12.35
01-08-15,8.86

