Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-08-15,22.19
30-08-15,17.00
29-08-15,15.83
28-08-15,11.01
27-08-15,9.81
26-08-15,8.59
25-08-15,6.29
24-08-15,19.37
23-08-15,16.78
22-08-15,21.82
21-08-15,18.58
20-08-15,16.46
19-08-15,8.81
18-08-15,5.97
17-08-15,
16-08-15,
15-08-15,16.36
14-08-15,22.59
13-08-15,19.34
12-08-15,14.80
11-08-15,24.62
10-08-15,22.19
09-08-15,13.25
08-08-15,19.97
07-08-15,16.57
06-08-15,14.91
05-08-15,10.73
04-08-15,18.89
03-08-15,17.11
02-08-15,14.37
01-08-15,13.30

