Datum Zeit,Collmberg PM2.5
,µg/m³
31-03-13,22.33
30-03-13,43.72
29-03-13,41.72
28-03-13,38.64
27-03-13,19.49
26-03-13,15.86
25-03-13,18.17
24-03-13,19.60
23-03-13,18.40
22-03-13,16.31
21-03-13,16.81
20-03-13,18.90
19-03-13,36.95
18-03-13,24.96
17-03-13,22.42
16-03-13,24.88
15-03-13,26.22
14-03-13,24.85
13-03-13,19.06
12-03-13,17.77
11-03-13,22.48
10-03-13,6.77
09-03-13,6.14
08-03-13,5.55
07-03-13,52.65
06-03-13,
05-03-13,
04-03-13,15.55
03-03-13,14.56
02-03-13,18.47
01-03-13,8.98

