Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-03-13,27.97
30-03-13,56.90
29-03-13,61.50
28-03-13,43.59
27-03-13,24.32
26-03-13,20.58
25-03-13,22.25
24-03-13,22.44
23-03-13,20.37
22-03-13,23.51
21-03-13,30.10
20-03-13,27.68
19-03-13,50.61
18-03-13,33.14
17-03-13,29.15
16-03-13,40.80
15-03-13,33.54
14-03-13,39.73
13-03-13,25.49
12-03-13,26.79
11-03-13,33.05
10-03-13,27.89
09-03-13,30.83
08-03-13,33.74
07-03-13,58.41
06-03-13,39.12
05-03-13,27.37
04-03-13,23.32
03-03-13,18.36
02-03-13,25.61
01-03-13,21.46

