Datum Zeit,Collmberg PM10
,µg/m³
31-03-13,25
30-03-13,51
29-03-13,53
28-03-13,46
27-03-13,25
26-03-13,19
25-03-13,22
24-03-13,23
23-03-13,22
22-03-13,18
21-03-13,20
20-03-13,22
19-03-13,42
18-03-13,33
17-03-13,26
16-03-13,29
15-03-13,30
14-03-13,26
13-03-13,21
12-03-13,20
11-03-13,26
10-03-13,17
09-03-13,21
08-03-13,21
07-03-13,62
06-03-13,36
05-03-13,25
04-03-13,25
03-03-13,21
02-03-13,29
01-03-13,18

