Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-03-13,36.69
30-03-13,51.36
29-03-13,42.88
28-03-13,37.89
27-03-13,23.78
26-03-13,20.39
25-03-13,23.42
24-03-13,21.17
23-03-13,21.55
22-03-13,23.16
21-03-13,26.34
20-03-13,36.38
19-03-13,43.77
18-03-13,27.84
17-03-13,22.88
16-03-13,28.44
15-03-13,32.29
14-03-13,34.79
13-03-13,28.54
12-03-13,24.02
11-03-13,22.76
10-03-13,26.26
09-03-13,26.37
08-03-13,26.77
07-03-13,47.63
06-03-13,28.72
05-03-13,20.86
04-03-13,19.06
03-03-13,20.24
02-03-13,30.66
01-03-13,16.05

