Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-03-13,27.03
30-03-13,54.78
29-03-13,56.60
28-03-13,40.46
27-03-13,19.86
26-03-13,15.79
25-03-13,18.40
24-03-13,18.59
23-03-13,17.03
22-03-13,20.10
21-03-13,24.40
20-03-13,24.35
19-03-13,43.98
18-03-13,30.55
17-03-13,23.92
16-03-13,32.73
15-03-13,27.75
14-03-13,35.88
13-03-13,21.95
12-03-13,21.64
11-03-13,30.46
10-03-13,23.97
09-03-13,28.69
08-03-13,31.80
07-03-13,54.78
06-03-13,32.37
05-03-13,21.81
04-03-13,16.81
03-03-13,16.51
02-03-13,21.49
01-03-13,15.89

