Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-03-13,36.87
30-03-13,47.23
29-03-13,43.45
28-03-13,37.36
27-03-13,23.22
26-03-13,18.98
25-03-13,22.79
24-03-13,21.98
23-03-13,21.72
22-03-13,21.15
21-03-13,26.42
20-03-13,32.79
19-03-13,40.35
18-03-13,27.63
17-03-13,23.31
16-03-13,28.09
15-03-13,33.98
14-03-13,34.16
13-03-13,25.42
12-03-13,23.27
11-03-13,21.22
10-03-13,27.13
09-03-13,25.28
08-03-13,25.89
07-03-13,48.68
06-03-13,29.92
05-03-13,21.61
04-03-13,18.68
03-03-13,21.42
02-03-13,30.12
01-03-13,15.54

