Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-03-13,36.49
30-03-13,56.13
29-03-13,49.92
28-03-13,
27-03-13,
26-03-13,
25-03-13,23.55
24-03-13,21.41
23-03-13,20.86
22-03-13,19.48
21-03-13,24.23
20-03-13,36.02
19-03-13,46.55
18-03-13,34.13
17-03-13,25.16
16-03-13,33.48
15-03-13,32.98
14-03-13,30.90
13-03-13,24.52
12-03-13,26.32
11-03-13,26.34
10-03-13,20.17
09-03-13,27.46
08-03-13,37.98
07-03-13,41.44
06-03-13,34.49
05-03-13,22.80
04-03-13,20.51
03-03-13,20.49
02-03-13,28.86
01-03-13,17.64

