Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-03-13,27.47
30-03-13,51.50
29-03-13,42.07
28-03-13,36.87
27-03-13,21.77
26-03-13,17.11
25-03-13,20.04
24-03-13,15.18
23-03-13,23.01
22-03-13,16.40
21-03-13,14.25
20-03-13,18.56
19-03-13,22.48
18-03-13,29.17
17-03-13,25.83
16-03-13,26.54
15-03-13,28.16
14-03-13,21.45
13-03-13,23.13
12-03-13,26.55
11-03-13,25.33
10-03-13,14.08
09-03-13,32.23
08-03-13,35.56
07-03-13,34.34
06-03-13,35.94
05-03-13,22.45
04-03-13,16.01
03-03-13,17.65
02-03-13,21.67
01-03-13,12.15

