Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-09-08,14.99
29-09-08,29.05
28-09-08,16.05
27-09-08,25.66
26-09-08,19.83
25-09-08,15.42
24-09-08,15.83
23-09-08,13.24
22-09-08,10.72
21-09-08,9.36
20-09-08,8.42
19-09-08,11.86
18-09-08,12.46
17-09-08,10.83
16-09-08,9.54
15-09-08,12.51
14-09-08,8.82
13-09-08,6.82
12-09-08,18.97
11-09-08,14.47
10-09-08,11.75
09-09-08,8.50
08-09-08,5.18
07-09-08,4.09
06-09-08,10.85
05-09-08,9.50
04-09-08,
03-09-08,9.58
02-09-08,10.41
01-09-08,10.59

