Datum Zeit,Leipzig-Mitte PM10
,µg/m³
30-09-08,23
29-09-08,50
28-09-08,43
27-09-08,53
26-09-08,45
25-09-08,38
24-09-08,30
23-09-08,20
22-09-08,22
21-09-08,21
20-09-08,23
19-09-08,39
18-09-08,42
17-09-08,35
16-09-08,27
15-09-08,36
14-09-08,17
13-09-08,22
12-09-08,44
11-09-08,40
10-09-08,30
09-09-08,24
08-09-08,16
07-09-08,10
06-09-08,22
05-09-08,29
04-09-08,18
03-09-08,23
02-09-08,
01-09-08,34

