Datum Zeit,Dresden-Nord PM10
,µg/m³
30-09-08,40
29-09-08,64
28-09-08,35
27-09-08,43
26-09-08,49
25-09-08,38
24-09-08,31
23-09-08,35
22-09-08,22
21-09-08,20
20-09-08,19
19-09-08,30
18-09-08,34
17-09-08,29
16-09-08,23
15-09-08,30
14-09-08,17
13-09-08,17
12-09-08,38
11-09-08,35
10-09-08,38
09-09-08,22
08-09-08,22
07-09-08,13
06-09-08,25
05-09-08,23
04-09-08,20
03-09-08,
02-09-08,
01-09-08,

