Datum Zeit,Radebeul-Wahnsdorf PM2.5
,µg/m³
30-09-08,16.49
29-09-08,25.96
28-09-08,17.08
27-09-08,20.65
26-09-08,16.83
25-09-08,14.86
24-09-08,11.54
23-09-08,12.54
22-09-08,8.40
21-09-08,8.47
20-09-08,7.32
19-09-08,10.76
18-09-08,10.86
17-09-08,7.52
16-09-08,8.67
15-09-08,10.74
14-09-08,8.50
13-09-08,6.26
12-09-08,18.26
11-09-08,12.37
10-09-08,11.06
09-09-08,7.64
08-09-08,3.88
07-09-08,3.95
06-09-08,9.29
05-09-08,8.35
04-09-08,4.96
03-09-08,8.46
02-09-08,10.76
01-09-08,10.03

