Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-09-08,20.18
29-09-08,32.63
28-09-08,18.00
27-09-08,25.50
26-09-08,21.97
25-09-08,16.25
24-09-08,16.58
23-09-08,16.34
22-09-08,12.12
21-09-08,11.44
20-09-08,10.56
19-09-08,13.03
18-09-08,14.31
17-09-08,13.18
16-09-08,10.62
15-09-08,13.24
14-09-08,9.16
13-09-08,7.37
12-09-08,19.17
11-09-08,15.90
10-09-08,16.34
09-09-08,9.36
08-09-08,9.16
07-09-08,5.91
06-09-08,13.46
05-09-08,11.19
04-09-08,7.88
03-09-08,12.82
02-09-08,12.95
01-09-08,13.68

