Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-09-08,13.29
29-09-08,30.94
28-09-08,27.83
27-09-08,30.13
26-09-08,25.41
25-09-08,18.35
24-09-08,16.43
23-09-08,11.03
22-09-08,13.38
21-09-08,12.91
20-09-08,15.26
19-09-08,20.90
18-09-08,21.73
17-09-08,19.30
16-09-08,15.31
15-09-08,17.78
14-09-08,8.63
13-09-08,10.17
12-09-08,22.94
11-09-08,17.97
10-09-08,15.24
09-09-08,10.97
08-09-08,7.78
07-09-08,4.84
06-09-08,10.57
05-09-08,14.09
04-09-08,7.96
03-09-08,9.44
02-09-08,13.09
01-09-08,17.27

