Datum Zeit,Chemnitz-Mitte PM10
,µg/m³
30-04-06,25
29-04-06,14
28-04-06,24
27-04-06,47
26-04-06,54
25-04-06,52
24-04-06,43
23-04-06,27
22-04-06,29
21-04-06,42
20-04-06,43
19-04-06,38
18-04-06,25
17-04-06,30
16-04-06,13
15-04-06,22
14-04-06,16
13-04-06,26
12-04-06,28
11-04-06,30
10-04-06,31
09-04-06,27
08-04-06,39
07-04-06,39
06-04-06,23
05-04-06,25
04-04-06,19
03-04-06,10
02-04-06,13
01-04-06,14

