Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-01-11,52.46
30-01-11,53.00
29-01-11,45.65
28-01-11,27.64
27-01-11,6.12
26-01-11,
25-01-11,7.04
24-01-11,12.71
23-01-11,17.77
22-01-11,23.08
21-01-11,12.51
20-01-11,10.14
19-01-11,8.45
18-01-11,19.96
17-01-11,16.34
16-01-11,7.73
15-01-11,4.23
14-01-11,3.42
13-01-11,4.93
12-01-11,6.67
11-01-11,20.80
10-01-11,21.80
09-01-11,9.67
08-01-11,7.04
07-01-11,9.62
06-01-11,12.42
05-01-11,22.32
04-01-11,19.44
03-01-11,10.50
02-01-11,4.79
01-01-11,22.00

