Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-01-11,66.27
30-01-11,51.54
29-01-11,50.76
28-01-11,37.75
27-01-11,12.26
26-01-11,11.99
25-01-11,12.09
24-01-11,14.80
23-01-11,17.34
22-01-11,23.74
21-01-11,31.60
20-01-11,13.89
19-01-11,13.88
18-01-11,27.66
17-01-11,21.99
16-01-11,8.17
15-01-11,8.06
14-01-11,7.41
13-01-11,7.90
12-01-11,11.87
11-01-11,26.50
10-01-11,27.58
09-01-11,9.89
08-01-11,7.59
07-01-11,12.89
06-01-11,14.91
05-01-11,27.50
04-01-11,24.04
03-01-11,13.74
02-01-11,6.37
01-01-11,22.25

