Datum Zeit,Collmberg PM2.5
,µg/m³
31-01-11,47.70
30-01-11,46.20
29-01-11,43.08
28-01-11,29.02
27-01-11,4.10
26-01-11,2.78
25-01-11,3.99
24-01-11,1.86
23-01-11,8.13
22-01-11,11.28
21-01-11,8.83
20-01-11,3.66
19-01-11,3.51
18-01-11,15.64
17-01-11,13.80
16-01-11,6.10
15-01-11,4.31
14-01-11,4.89
13-01-11,4.65
12-01-11,4.91
11-01-11,17.70
10-01-11,16.57
09-01-11,5.71
08-01-11,5.19
07-01-11,4.03
06-01-11,8.45
05-01-11,16.84
04-01-11,14.18
03-01-11,8.72
02-01-11,4.59
01-01-11,9.67

