Datum Zeit,Glauchau PM10
,µg/m³
31-01-11,97
30-01-11,78
29-01-11,66
28-01-11,33
27-01-11,11
26-01-11,15
25-01-11,8
24-01-11,12
23-01-11,21
22-01-11,23
21-01-11,14
20-01-11,13
19-01-11,14
18-01-11,29
17-01-11,30
16-01-11,11
15-01-11,8
14-01-11,4
13-01-11,5
12-01-11,9
11-01-11,23
10-01-11,32
09-01-11,9
08-01-11,7
07-01-11,15
06-01-11,10
05-01-11,29
04-01-11,22
03-01-11,13
02-01-11,11
01-01-11,36

