Datum Zeit,Leipzig-West PM10
,µg/m³
30-06-12,23
29-06-12,20
28-06-12,14
27-06-12,12
26-06-12,7
25-06-12,7
24-06-12,13
23-06-12,17
22-06-12,14
21-06-12,9
20-06-12,21
19-06-12,12
18-06-12,14
17-06-12,8
16-06-12,10
15-06-12,12
14-06-12,14
13-06-12,19
12-06-12,9
11-06-12,15
10-06-12,11
09-06-12,12
08-06-12,12
07-06-12,12
06-06-12,13
05-06-12,10
04-06-12,13
03-06-12,15
02-06-12,9
01-06-12,8

