Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-06-12,13.67
29-06-12,10.13
28-06-12,7.77
27-06-12,7.69
26-06-12,4.43
25-06-12,3.51
24-06-12,8.40
23-06-12,7.07
22-06-12,6.98
21-06-12,10.63
20-06-12,15.98
19-06-12,6.37
18-06-12,11.01
17-06-12,4.67
16-06-12,7.28
15-06-12,9.00
14-06-12,7.14
13-06-12,12.85
12-06-12,5.73
11-06-12,9.94
10-06-12,8.59
09-06-12,7.26
08-06-12,6.12
07-06-12,7.99
06-06-12,9.28
05-06-12,5.21
04-06-12,5.88
03-06-12,11.53
02-06-12,7.23
01-06-12,6.65

