Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-06-12,15.98
29-06-12,12.27
28-06-12,9.53
27-06-12,10.45
26-06-12,6.37
25-06-12,5.37
24-06-12,10.80
23-06-12,11.47
22-06-12,9.57
21-06-12,12.22
20-06-12,17.77
19-06-12,7.74
18-06-12,12.83
17-06-12,4.95
16-06-12,8.98
15-06-12,11.36
14-06-12,7.70
13-06-12,15.04
12-06-12,7.43
11-06-12,11.25
10-06-12,9.47
09-06-12,8.06
08-06-12,8.76
07-06-12,9.35
06-06-12,9.35
05-06-12,5.28
04-06-12,6.91
03-06-12,12.49
02-06-12,9.29
01-06-12,7.61

