Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-06-12,
29-06-12,15.37
28-06-12,12.37
27-06-12,14.45
26-06-12,7.41
25-06-12,6.96
24-06-12,9.16
23-06-12,9.61
22-06-12,10.54
21-06-12,8.45
20-06-12,17.63
19-06-12,8.34
18-06-12,12.54
17-06-12,5.29
16-06-12,10.05
15-06-12,11.74
14-06-12,10.81
13-06-12,15.34
12-06-12,8.68
11-06-12,11.48
10-06-12,7.82
09-06-12,8.71
08-06-12,11.44
07-06-12,11.29
06-06-12,10.44
05-06-12,6.81
04-06-12,12.72
03-06-12,12.60
02-06-12,7.49
01-06-12,8.64

