Datum Zeit,Freiberg PM10
,µg/m³
30-06-12,28
29-06-12,27
28-06-12,13
27-06-12,16
26-06-12,12
25-06-12,11
24-06-12,13
23-06-12,17
22-06-12,13
21-06-12,19
20-06-12,29
19-06-12,
18-06-12,22
17-06-12,10
16-06-12,12
15-06-12,21
14-06-12,17
13-06-12,20
12-06-12,11
11-06-12,24
10-06-12,14
09-06-12,14
08-06-12,14
07-06-12,16
06-06-12,17
05-06-12,11
04-06-12,9
03-06-12,15
02-06-12,12
01-06-12,8

