Datum Zeit,Goerlitz PM10
,µg/m³
31-07-03,22
30-07-03,17
29-07-03,19
28-07-03,17
27-07-03,25
26-07-03,27
25-07-03,22
24-07-03,27
23-07-03,21
22-07-03,25
21-07-03,31
20-07-03,19
19-07-03,21
18-07-03,21
17-07-03,31
16-07-03,26
15-07-03,18
14-07-03,15
13-07-03,15
12-07-03,18
11-07-03,23
10-07-03,20
09-07-03,26
08-07-03,27
07-07-03,28
06-07-03,14
05-07-03,15
04-07-03,34
03-07-03,39
02-07-03,44
01-07-03,23

