Datum Zeit,Borna NO2
,µg/m³
01-08-03 00:00,20
31-07-03 23:00,18
31-07-03 22:00,20
31-07-03 21:00,36
31-07-03 20:00,42
31-07-03 19:00,33
31-07-03 18:00,35
31-07-03 17:00,32
31-07-03 16:00,31
31-07-03 15:00,37
31-07-03 14:00,29
31-07-03 13:00,38
31-07-03 12:00,42
31-07-03 11:00,42
31-07-03 10:00,32
31-07-03 09:00,55
31-07-03 08:00,65
31-07-03 07:00,72
31-07-03 06:00,65
31-07-03 05:00,60
31-07-03 04:00,47
31-07-03 03:00,34
31-07-03 02:00,35
31-07-03 01:00,22
31-07-03 00:00,21
30-07-03 23:00,24
30-07-03 22:00,27
30-07-03 21:00,32
30-07-03 20:00,49
30-07-03 19:00,43
30-07-03 18:00,46
30-07-03 17:00,42
30-07-03 16:00,44
30-07-03 15:00,47
30-07-03 14:00,45
30-07-03 13:00,
30-07-03 12:00,
30-07-03 11:00,
30-07-03 10:00,
30-07-03 09:00,
30-07-03 08:00,
30-07-03 07:00,41
30-07-03 06:00,40
30-07-03 05:00,34
30-07-03 04:00,28
30-07-03 03:00,26
30-07-03 02:00,24
30-07-03 01:00,26
30-07-03 00:00,26
29-07-03 23:00,26
29-07-03 22:00,38
29-07-03 21:00,47
29-07-03 20:00,52
29-07-03 19:00,64
29-07-03 18:00,59
29-07-03 17:00,51
29-07-03 16:00,34
29-07-03 15:00,27
29-07-03 14:00,14
29-07-03 13:00,36
29-07-03 12:00,27
29-07-03 11:00,29
29-07-03 10:00,22
29-07-03 09:00,26
29-07-03 08:00,49
29-07-03 07:00,50
29-07-03 06:00,58
29-07-03 05:00,43
29-07-03 04:00,40
29-07-03 03:00,31
29-07-03 02:00,19
29-07-03 01:00,19
29-07-03 00:00,18
28-07-03 23:00,21
28-07-03 22:00,21
28-07-03 21:00,16
28-07-03 20:00,14
28-07-03 19:00,29
28-07-03 18:00,37
28-07-03 17:00,44
28-07-03 16:00,35
28-07-03 15:00,35
28-07-03 14:00,34
28-07-03 13:00,32
28-07-03 12:00,22
28-07-03 11:00,30
28-07-03 10:00,30
28-07-03 09:00,42
28-07-03 08:00,29
28-07-03 07:00,33
28-07-03 06:00,22
28-07-03 05:00,9
28-07-03 04:00,7
28-07-03 03:00,21
28-07-03 02:00,18
28-07-03 01:00,10
28-07-03 00:00,12
27-07-03 23:00,17
27-07-03 22:00,21
27-07-03 21:00,29
27-07-03 20:00,26
27-07-03 19:00,29
27-07-03 18:00,31
27-07-03 17:00,18
27-07-03 16:00,27
27-07-03 15:00,24
27-07-03 14:00,17
27-07-03 13:00,24
27-07-03 12:00,13
27-07-03 11:00,19
27-07-03 10:00,17
27-07-03 09:00,18
27-07-03 08:00,15
27-07-03 07:00,17
27-07-03 06:00,18
27-07-03 05:00,21
27-07-03 04:00,18
27-07-03 03:00,20
27-07-03 02:00,21
27-07-03 01:00,26
27-07-03 00:00,30
26-07-03 23:00,38
26-07-03 22:00,51
26-07-03 21:00,30
26-07-03 20:00,11
26-07-03 19:00,7
26-07-03 18:00,15
26-07-03 17:00,34
26-07-03 16:00,19
26-07-03 15:00,34
26-07-03 14:00,34
26-07-03 13:00,37
26-07-03 12:00,39
26-07-03 11:00,46
26-07-03 10:00,49
26-07-03 09:00,46
26-07-03 08:00,41
26-07-03 07:00,38
26-07-03 06:00,31
26-07-03 05:00,26
26-07-03 04:00,19
26-07-03 03:00,22
26-07-03 02:00,23
26-07-03 01:00,26
26-07-03 00:00,38
25-07-03 23:00,43
25-07-03 22:00,62
25-07-03 21:00,74
25-07-03 20:00,76
25-07-03 19:00,66
