Datum Zeit,Chemnitz-Mitte NO2
,µg/m³
01-08-03 00:00,30
31-07-03 23:00,40
31-07-03 22:00,41
31-07-03 21:00,32
31-07-03 20:00,28
31-07-03 19:00,37
31-07-03 18:00,23
31-07-03 17:00,25
31-07-03 16:00,21
31-07-03 15:00,29
31-07-03 14:00,29
31-07-03 13:00,32
31-07-03 12:00,35
31-07-03 11:00,56
31-07-03 10:00,47
31-07-03 09:00,92
31-07-03 08:00,74
31-07-03 07:00,71
31-07-03 06:00,72
31-07-03 05:00,47
31-07-03 04:00,29
31-07-03 03:00,31
31-07-03 02:00,36
31-07-03 01:00,47
31-07-03 00:00,33
30-07-03 23:00,68
30-07-03 22:00,36
30-07-03 21:00,30
30-07-03 20:00,23
30-07-03 19:00,24
30-07-03 18:00,22
30-07-03 17:00,20
30-07-03 16:00,19
30-07-03 15:00,21
30-07-03 14:00,19
30-07-03 13:00,16
30-07-03 12:00,17
30-07-03 11:00,28
30-07-03 10:00,20
30-07-03 09:00,31
30-07-03 08:00,35
30-07-03 07:00,40
30-07-03 06:00,41
30-07-03 05:00,27
30-07-03 04:00,19
30-07-03 03:00,13
30-07-03 02:00,11
30-07-03 01:00,17
30-07-03 00:00,22
29-07-03 23:00,35
29-07-03 22:00,38
29-07-03 21:00,39
29-07-03 20:00,26
29-07-03 19:00,26
29-07-03 18:00,43
29-07-03 17:00,52
29-07-03 16:00,29
29-07-03 15:00,25
29-07-03 14:00,27
29-07-03 13:00,20
29-07-03 12:00,20
29-07-03 11:00,27
29-07-03 10:00,30
29-07-03 09:00,29
29-07-03 08:00,38
29-07-03 07:00,44
29-07-03 06:00,36
29-07-03 05:00,32
29-07-03 04:00,29
29-07-03 03:00,22
29-07-03 02:00,18
29-07-03 01:00,23
29-07-03 00:00,35
28-07-03 23:00,35
28-07-03 22:00,46
28-07-03 21:00,37
28-07-03 20:00,26
28-07-03 19:00,23
28-07-03 18:00,26
28-07-03 17:00,18
28-07-03 16:00,21
28-07-03 15:00,22
28-07-03 14:00,22
28-07-03 13:00,24
28-07-03 12:00,20
28-07-03 11:00,30
28-07-03 10:00,31
28-07-03 09:00,29
28-07-03 08:00,37
28-07-03 07:00,42
28-07-03 06:00,18
28-07-03 05:00,11
28-07-03 04:00,11
28-07-03 03:00,8
28-07-03 02:00,12
28-07-03 01:00,13
28-07-03 00:00,19
27-07-03 23:00,27
27-07-03 22:00,27
27-07-03 21:00,30
27-07-03 20:00,32
27-07-03 19:00,24
27-07-03 18:00,20
27-07-03 17:00,15
27-07-03 16:00,16
27-07-03 15:00,16
27-07-03 14:00,10
27-07-03 13:00,8
27-07-03 12:00,8
27-07-03 11:00,9
27-07-03 10:00,9
27-07-03 09:00,8
27-07-03 08:00,9
27-07-03 07:00,12
27-07-03 06:00,16
27-07-03 05:00,16
27-07-03 04:00,11
27-07-03 03:00,11
27-07-03 02:00,15
27-07-03 01:00,24
27-07-03 00:00,25
26-07-03 23:00,29
26-07-03 22:00,38
26-07-03 21:00,37
26-07-03 20:00,38
26-07-03 19:00,30
26-07-03 18:00,19
26-07-03 17:00,18
26-07-03 16:00,13
26-07-03 15:00,11
26-07-03 14:00,11
26-07-03 13:00,18
26-07-03 12:00,22
26-07-03 11:00,21
26-07-03 10:00,30
26-07-03 09:00,32
26-07-03 08:00,60
26-07-03 07:00,76
26-07-03 06:00,48
26-07-03 05:00,18
26-07-03 04:00,25
26-07-03 03:00,21
26-07-03 02:00,16
26-07-03 01:00,23
26-07-03 00:00,28
25-07-03 23:00,27
25-07-03 22:00,38
25-07-03 21:00,32
25-07-03 20:00,32
25-07-03 19:00,22
25-07-03 18:00,21
25-07-03 17:00,24
25-07-03 16:00,20
25-07-03 15:00,25
25-07-03 14:00,23
25-07-03 13:00,19
25-07-03 12:00,20
25-07-03 11:00,26
25-07-03 10:00,25
25-07-03 09:00,31
25-07-03 08:00,31
25-07-03 07:00,37
25-07-03 06:00,38
25-07-03 05:00,20
25-07-03 04:00,17
25-07-03 03:00,18
25-07-03 02:00,12
25-07-03 01:00,13
25-07-03 00:00,13
24-07-03 23:00,18
24-07-03 22:00,18
24-07-03 21:00,29
24-07-03 20:00,39
24-07-03 19:00,78
24-07-03 18:00,53
24-07-03 17:00,51
24-07-03 16:00,28
24-07-03 15:00,39
24-07-03 14:00,39
24-07-03 13:00,38
24-07-03 12:00,27
24-07-03 11:00,23
24-07-03 10:00,29
24-07-03 09:00,29
24-07-03 08:00,47
24-07-03 07:00,60
24-07-03 06:00,56
24-07-03 05:00,37
24-07-03 04:00,26
24-07-03 03:00,17
24-07-03 02:00,15
24-07-03 01:00,15
24-07-03 00:00,22
23-07-03 23:00,29
23-07-03 22:00,40
23-07-03 21:00,43
23-07-03 20:00,26
23-07-03 19:00,26
23-07-03 18:00,26
23-07-03 17:00,29
23-07-03 16:00,21
23-07-03 15:00,37
23-07-03 14:00,30
23-07-03 13:00,26
23-07-03 12:00,25
23-07-03 11:00,23
23-07-03 10:00,18
23-07-03 09:00,23
23-07-03 08:00,36
23-07-03 07:00,45
23-07-03 06:00,45
23-07-03 05:00,32
23-07-03 04:00,23
23-07-03 03:00,25
23-07-03 02:00,25
23-07-03 01:00,37
23-07-03 00:00,42
22-07-03 23:00,61
22-07-03 22:00,46
22-07-03 21:00,25
22-07-03 20:00,29
22-07-03 19:00,28
22-07-03 18:00,30
22-07-03 17:00,22
22-07-03 16:00,23
22-07-03 15:00,21
22-07-03 14:00,28
22-07-03 13:00,21
22-07-03 12:00,19
22-07-03 11:00,24
