Datum Zeit,Leipzig-West NO2
,µg/m³
01-08-03 00:00,15
31-07-03 23:00,14
31-07-03 22:00,14
31-07-03 21:00,10
31-07-03 20:00,9
31-07-03 19:00,11
31-07-03 18:00,9
31-07-03 17:00,7
31-07-03 16:00,7
31-07-03 15:00,9
31-07-03 14:00,8
31-07-03 13:00,8
31-07-03 12:00,17
31-07-03 11:00,39
31-07-03 10:00,60
31-07-03 09:00,60
31-07-03 08:00,57
31-07-03 07:00,43
31-07-03 06:00,27
31-07-03 05:00,18
31-07-03 04:00,14
31-07-03 03:00,14
31-07-03 02:00,12
31-07-03 01:00,12
31-07-03 00:00,11
30-07-03 23:00,12
30-07-03 22:00,14
30-07-03 21:00,14
30-07-03 20:00,13
30-07-03 19:00,11
30-07-03 18:00,9
30-07-03 17:00,8
30-07-03 16:00,10
30-07-03 15:00,11
30-07-03 14:00,12
30-07-03 13:00,12
30-07-03 12:00,
30-07-03 11:00,19
30-07-03 10:00,25
30-07-03 09:00,30
30-07-03 08:00,32
30-07-03 07:00,30
30-07-03 06:00,24
30-07-03 05:00,22
30-07-03 04:00,23
30-07-03 03:00,30
30-07-03 02:00,26
30-07-03 01:00,22
30-07-03 00:00,17
29-07-03 23:00,23
29-07-03 22:00,43
29-07-03 21:00,18
29-07-03 20:00,12
29-07-03 19:00,7
29-07-03 18:00,11
29-07-03 17:00,16
29-07-03 16:00,16
29-07-03 15:00,19
29-07-03 14:00,17
29-07-03 13:00,11
29-07-03 12:00,15
29-07-03 11:00,19
29-07-03 10:00,25
29-07-03 09:00,23
29-07-03 08:00,23
29-07-03 07:00,32
29-07-03 06:00,34
29-07-03 05:00,27
29-07-03 04:00,17
29-07-03 03:00,15
29-07-03 02:00,16
29-07-03 01:00,16
29-07-03 00:00,15
28-07-03 23:00,12
28-07-03 22:00,16
28-07-03 21:00,11
28-07-03 20:00,13
28-07-03 19:00,13
28-07-03 18:00,14
28-07-03 17:00,8
28-07-03 16:00,13
28-07-03 15:00,17
28-07-03 14:00,17
28-07-03 13:00,17
28-07-03 12:00,15
28-07-03 11:00,18
28-07-03 10:00,23
28-07-03 09:00,20
28-07-03 08:00,26
28-07-03 07:00,29
28-07-03 06:00,18
28-07-03 05:00,14
28-07-03 04:00,8
28-07-03 03:00,7
28-07-03 02:00,10
28-07-03 01:00,12
28-07-03 00:00,13
27-07-03 23:00,15
27-07-03 22:00,17
27-07-03 21:00,18
27-07-03 20:00,13
27-07-03 19:00,14
27-07-03 18:00,12
27-07-03 17:00,6
27-07-03 16:00,7
27-07-03 15:00,7
27-07-03 14:00,6
27-07-03 13:00,8
27-07-03 12:00,7
27-07-03 11:00,8
27-07-03 10:00,8
27-07-03 09:00,8
27-07-03 08:00,11
27-07-03 07:00,12
27-07-03 06:00,11
27-07-03 05:00,10
27-07-03 04:00,13
27-07-03 03:00,14
27-07-03 02:00,19
27-07-03 01:00,23
27-07-03 00:00,21
26-07-03 23:00,26
26-07-03 22:00,33
26-07-03 21:00,22
26-07-03 20:00,10
26-07-03 19:00,12
26-07-03 18:00,11
26-07-03 17:00,8
26-07-03 16:00,11
26-07-03 15:00,11
26-07-03 14:00,10
26-07-03 13:00,11
26-07-03 12:00,15
26-07-03 11:00,19
26-07-03 10:00,24
26-07-03 09:00,26
26-07-03 08:00,23
26-07-03 07:00,22
26-07-03 06:00,18
26-07-03 05:00,18
26-07-03 04:00,20
26-07-03 03:00,21
26-07-03 02:00,19
26-07-03 01:00,18
26-07-03 00:00,18
25-07-03 23:00,25
25-07-03 22:00,23
25-07-03 21:00,19
25-07-03 20:00,13
25-07-03 19:00,11
25-07-03 18:00,9
25-07-03 17:00,11
25-07-03 16:00,13
25-07-03 15:00,12
25-07-03 14:00,15
25-07-03 13:00,15
25-07-03 12:00,12
25-07-03 11:00,13
25-07-03 10:00,13
25-07-03 09:00,17
25-07-03 08:00,29
25-07-03 07:00,29
25-07-03 06:00,18
25-07-03 05:00,20
25-07-03 04:00,18
25-07-03 03:00,16
25-07-03 02:00,11
25-07-03 01:00,10
25-07-03 00:00,9
24-07-03 23:00,11
24-07-03 22:00,17
24-07-03 21:00,13
24-07-03 20:00,18
24-07-03 19:00,25
24-07-03 18:00,17
24-07-03 17:00,15
24-07-03 16:00,19
24-07-03 15:00,16
24-07-03 14:00,12
24-07-03 13:00,12
24-07-03 12:00,17
24-07-03 11:00,25
24-07-03 10:00,34
24-07-03 09:00,32
24-07-03 08:00,33
24-07-03 07:00,36
24-07-03 06:00,31
24-07-03 05:00,23
24-07-03 04:00,17
