Datum Zeit,Collmberg PM2.5
,µg/m³
31-03-15,2.44
30-03-15,3.14
29-03-15,4.99
28-03-15,15.87
27-03-15,14.85
26-03-15,30.11
25-03-15,40.44
24-03-15,41.88
23-03-15,24.10
22-03-15,6.70
21-03-15,46.18
20-03-15,41.52
19-03-15,32.48
18-03-15,28.26
17-03-15,17.35
16-03-15,24.05
15-03-15,15.16
14-03-15,13.13
13-03-15,11.24
12-03-15,4.56
11-03-15,6.67
10-03-15,21.83
09-03-15,15.48
08-03-15,11.32
07-03-15,18.00
06-03-15,17.15
05-03-15,5.06
04-03-15,5.38
03-03-15,4.73
02-03-15,3.36
01-03-15,7.26

