Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-03-15,3.49
30-03-15,3.57
29-03-15,3.96
28-03-15,14.58
27-03-15,13.02
26-03-15,33.38
25-03-15,39.15
24-03-15,45.76
23-03-15,30.40
22-03-15,7.59
21-03-15,48.07
20-03-15,42.43
19-03-15,35.02
18-03-15,24.44
17-03-15,18.91
16-03-15,24.33
15-03-15,19.06
14-03-15,18.98
13-03-15,18.72
12-03-15,12.53
11-03-15,9.18
10-03-15,27.67
09-03-15,20.37
08-03-15,14.07
07-03-15,22.01
06-03-15,18.85
05-03-15,6.65
04-03-15,6.68
03-03-15,4.53
02-03-15,4.35
01-03-15,7.67

