Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-03-15,3.27
30-03-15,3.28
29-03-15,5.13
28-03-15,14.70
27-03-15,15.50
26-03-15,38.94
25-03-15,28.89
24-03-15,37.94
23-03-15,23.83
22-03-15,8.62
21-03-15,45.09
20-03-15,42.99
19-03-15,34.77
18-03-15,27.27
17-03-15,14.85
16-03-15,18.97
15-03-15,17.64
14-03-15,20.61
13-03-15,19.15
12-03-15,13.82
11-03-15,9.37
10-03-15,28.20
09-03-15,23.34
08-03-15,20.12
07-03-15,16.91
06-03-15,17.14
05-03-15,6.76
04-03-15,5.38
03-03-15,4.72
02-03-15,4.47
01-03-15,12.60

