Datum Zeit,Zittau-Ost PM10
,µg/m³
31-03-15,7
30-03-15,5
29-03-15,16
28-03-15,21
27-03-15,23
26-03-15,45
25-03-15,51
24-03-15,53
23-03-15,37
22-03-15,23
21-03-15,60
20-03-15,61
19-03-15,63
18-03-15,50
17-03-15,34
16-03-15,29
15-03-15,29
14-03-15,22
13-03-15,28
12-03-15,21
11-03-15,22
10-03-15,34
09-03-15,28
08-03-15,22
07-03-15,26
06-03-15,22
05-03-15,11
04-03-15,11
03-03-15,10
02-03-15,10
01-03-15,31

