Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-03-15,3.69
30-03-15,5.10
29-03-15,4.44
28-03-15,16.81
27-03-15,15.10
26-03-15,40.24
25-03-15,28.75
24-03-15,40.17
23-03-15,27.93
22-03-15,10.22
21-03-15,42.63
20-03-15,40.15
19-03-15,33.78
18-03-15,25.19
17-03-15,20.18
16-03-15,23.89
15-03-15,18.08
14-03-15,16.95
13-03-15,18.26
12-03-15,12.27
11-03-15,12.36
10-03-15,30.55
09-03-15,25.91
08-03-15,16.31
07-03-15,22.09
06-03-15,18.53
05-03-15,8.78
04-03-15,7.59
03-03-15,6.64
02-03-15,7.13
01-03-15,7.38

