Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-03-15,4.10
30-03-15,4.52
29-03-15,5.95
28-03-15,14.32
27-03-15,16.01
26-03-15,38.56
25-03-15,30.57
24-03-15,38.24
23-03-15,23.62
22-03-15,8.83
21-03-15,45.60
20-03-15,45.08
19-03-15,33.23
18-03-15,27.78
17-03-15,15.26
16-03-15,19.76
15-03-15,17.24
14-03-15,20.59
13-03-15,18.76
12-03-15,12.17
11-03-15,10.28
10-03-15,29.38
09-03-15,22.43
08-03-15,20.19
07-03-15,17.94
06-03-15,19.96
05-03-15,7.89
04-03-15,7.43
03-03-15,6.68
02-03-15,5.93
01-03-15,13.40

