Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-07-16,10.50
30-07-16,7.77
29-07-16,8.14
28-07-16,11.66
27-07-16,14.23
26-07-16,13.60
25-07-16,18.28
24-07-16,17.17
23-07-16,10.62
22-07-16,12.22
21-07-16,12.51
20-07-16,6.06
19-07-16,8.33
18-07-16,7.18
17-07-16,6.98
16-07-16,8.68
15-07-16,5.15
14-07-16,5.63
13-07-16,7.79
12-07-16,8.23
11-07-16,10.11
10-07-16,8.74
09-07-16,7.65
08-07-16,9.63
07-07-16,6.76
06-07-16,4.65
05-07-16,7.17
04-07-16,6.51
03-07-16,4.60
02-07-16,6.55
01-07-16,8.43

