Datum Zeit,Glauchau PM10
,µg/m³
31-07-16,13
30-07-16,12
29-07-16,12
28-07-16,18
27-07-16,19
26-07-16,22
25-07-16,26
24-07-16,23
23-07-16,26
22-07-16,20
21-07-16,16
20-07-16,13
19-07-16,14
18-07-16,16
17-07-16,14
16-07-16,15
15-07-16,10
14-07-16,13
13-07-16,15
12-07-16,13
11-07-16,16
10-07-16,14
09-07-16,15
08-07-16,16
07-07-16,12
06-07-16,10
05-07-16,12
04-07-16,11
03-07-16,11
02-07-16,12
01-07-16,14

