Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-07-16,9.22
30-07-16,7.76
29-07-16,9.62
28-07-16,13.52
27-07-16,16.45
26-07-16,20.32
25-07-16,19.12
24-07-16,13.92
23-07-16,14.32
22-07-16,15.04
21-07-16,11.30
20-07-16,8.74
19-07-16,8.15
18-07-16,7.76
17-07-16,8.27
16-07-16,8.17
15-07-16,4.80
14-07-16,5.76
13-07-16,8.44
12-07-16,8.62
11-07-16,9.37
10-07-16,9.30
09-07-16,8.66
08-07-16,9.36
07-07-16,7.69
06-07-16,4.57
05-07-16,7.51
04-07-16,5.82
03-07-16,3.10
02-07-16,6.61
01-07-16,7.78

