Datum Zeit,Brockau PM10
,µg/m³
31-07-16,11
30-07-16,9
29-07-16,12
28-07-16,16
27-07-16,19
26-07-16,21
25-07-16,22
24-07-16,17
23-07-16,24
22-07-16,15
21-07-16,13
20-07-16,13
19-07-16,13
18-07-16,13
17-07-16,11
16-07-16,11
15-07-16,10
14-07-16,8
13-07-16,10
12-07-16,15
11-07-16,17
10-07-16,11
09-07-16,14
08-07-16,13
07-07-16,8
06-07-16,11
05-07-16,9
04-07-16,9
03-07-16,6
02-07-16,8
01-07-16,12

