Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-07-16,9.16
30-07-16,5.84
29-07-16,5.67
28-07-16,8.31
27-07-16,11.27
26-07-16,10.98
25-07-16,15.72
24-07-16,15.63
23-07-16,8.72
22-07-16,10.69
21-07-16,9.79
20-07-16,5.06
19-07-16,6.83
18-07-16,5.47
17-07-16,7.51
16-07-16,7.15
15-07-16,2.48
14-07-16,4.04
13-07-16,5.48
12-07-16,5.98
11-07-16,9.10
10-07-16,7.39
09-07-16,6.08
08-07-16,7.18
07-07-16,4.50
06-07-16,3.86
05-07-16,5.42
04-07-16,4.27
03-07-16,2.83
02-07-16,4.38
01-07-16,5.93

