Datum Zeit,Freiberg PM2.5
,µg/m³
31-07-16,11.86
30-07-16,11.21
29-07-16,11.83
28-07-16,16.08
27-07-16,19.84
26-07-16,22.47
25-07-16,25.43
24-07-16,17.24
23-07-16,20.02
22-07-16,20.55
21-07-16,15.10
20-07-16,11.38
19-07-16,13.56
18-07-16,14.76
17-07-16,10.84
16-07-16,12.51
15-07-16,6.87
14-07-16,9.80
13-07-16,11.98
12-07-16,14.32
11-07-16,16.44
10-07-16,10.90
09-07-16,13.68
08-07-16,11.88
07-07-16,11.03
06-07-16,8.96
05-07-16,11.11
04-07-16,8.37
03-07-16,6.87
02-07-16,9.02
01-07-16,11.22

