Datum Zeit,Collmberg PM2.5
,µg/m³
31-07-16,6.58
30-07-16,4.75
29-07-16,5.65
28-07-16,8.79
27-07-16,13.77
26-07-16,14.60
25-07-16,14.45
24-07-16,14.62
23-07-16,9.69
22-07-16,9.55
21-07-16,9.53
20-07-16,4.67
19-07-16,5.88
18-07-16,5.31
17-07-16,6.98
16-07-16,5.37
15-07-16,2.76
14-07-16,2.58
13-07-16,5.23
12-07-16,6.41
11-07-16,8.04
10-07-16,6.09
09-07-16,5.28
08-07-16,5.87
07-07-16,3.95
06-07-16,3.19
05-07-16,4.86
04-07-16,3.83
03-07-16,2.92
02-07-16,3.72
01-07-16,4.61

